jahr,bildungsbereiche insgesamt,vorklasse,schulkindergarten,grundschule,integrierte gesamtschule,freie waldorfschule,schulartunabhängige orientierungsstufe,hauptschule,schularten mit mehreren bildungsgängen,realschule,integrierte Gesamtschule,freie waldorfschule,abendhauptschule,abendrealschule,gymnasium sek1,gymnasium sek2,integrierte gesamtschule,freie waldorfschule,abendgymnasium,kolleg,insgesamt,schwerpunkt lernen,andere schwerpunkte
1990,0,20,11.3,20.5,16.9,19.4,14.9,14.3,0,16.2,12.5,12.7,16.9,23.8,15.3,10.6,9.8,10.9,13.5,9.8,0,8.1,5.1
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,18.8,11.3,20,19.3,20.5,15.5,14.5,14.1,16.3,12.6,13.2,20,18.8,16,10.6,9.6,10.1,12.4,9.6,0,7.7,5
1993,0,18.9,11.7,20.5,19.7,19.6,16.2,14.6,14.7,16.9,13.1,12.9,18.3,19.5,16.5,11,10.4,10.2,12.5,9.7,0,8.2,5.2
1994,0,18.8,11.7,20.7,20.2,19.5,16.4,14.6,14.6,17.3,13.3,12.8,19.8,20.4,16.7,11.3,10.8,10.3,11.9,9.5,0,8.4,5.3
1995,0,19.2,12.3,20.9,19.8,18.9,16.4,14.8,15,17.7,13.5,12.9,29.4,21,16.8,11.5,11,10.9,12.3,9.8,0,8.8,5.5
1996,0,18.9,12,21.2,20,19.4,17,14.9,15.5,17.9,13.8,13.4,19.5,21.5,17,11.7,11.5,10.6,12.7,9.7,0,8.6,5.3
1997,0,18,11.7,21.6,19.6,19.4,17.2,15,15.8,18.1,14.1,13.5,18.3,21.5,17.4,12,11.9,10.7,13.1,10.5,0,8.7,5.5
1998,0,17,11.4,21.4,19.2,19.6,17.1,14.9,15.8,18.3,14.2,13.7,19.8,21.9,17.5,12.2,11.8,11.1,13.7,10.8,0,8.7,5.5
1999,16.4,17.3,11.3,21,18.8,19.5,17,15,15.3,18.3,14.1,13.9,20.4,23.2,17.8,12.4,12.1,11.4,13.6,11.2,6.9,8.9,5.4
2000,16.3,16.9,11,20.6,18.8,18.8,17.3,15,15.3,18.6,14.2,14,19.2,24.3,17.8,12.4,12.1,12.1,13.8,11.3,6.9,8.9,5.4
2001,16.1,17.7,10.6,20.1,17.1,18.8,17.1,15,14.7,18.8,14.2,14.1,19,21.3,17.8,12.5,12,11.2,14.2,12.7,6.8,8.9,5.3
2002,16,15.6,10.2,19.9,17,19.2,16.7,14.9,14,19,14.3,13.9,19.1,24.1,17.7,12.6,12,11.5,15.4,12.6,6.8,9,5.6
2003,16,16.3,10,20.1,17.8,18.5,16.5,14.7,13.6,19.1,14.5,13.8,19.1,24.4,17.8,12.7,12.3,11.2,15.6,12.6,6.7,8.9,5.6
2004,16,16.4,9.6,20,17.5,19.4,14.4,14.4,13,19.1,14.7,13.9,20.1,25.4,17.9,13.2,13,11.5,15.4,13,6.6,8.4,5.8
2005,15.9,18,8.8,19.9,16.4,18.9,14.3,14.2,12.4,19.2,14.7,13.9,19.4,24.7,18,13.4,13.1,11.7,16,13.1,6.5,8.4,5.6
2006,15.7,17.4,8.7,19.4,17.1,19,14.2,13.5,12,18.9,14.7,13.7,18,23.7,17.8,13.5,13,11.8,15.6,12.2,6.4,8.3,5.6
2007,15.4,16.1,8.3,19,16.1,18.6,14.3,13.1,11.5,18.7,14.5,13.7,15.1,22,17.5,13.5,13.1,12.2,14.8,12.1,6.2,8,5.5
2008,15.1,14.6,8.1,18.5,15.6,19,14.2,12.8,11.5,18.6,14.6,13.8,17.1,21.8,17.3,13.7,12.8,13.2,14.9,11.9,6.1,7.7,5.4
2009,14.7,15,7.9,17.8,16.4,19,14.1,12.4,11.7,18,14.2,13.4,16.3,22.6,16.7,13.4,13.4,12.7,16.4,12.6,5.8,7.4,5.3
2010,14.3,15.3,8.2,17.4,15.2,18.2,13.9,12.1,11.8,17.6,13.9,13.3,16.9,22,16.2,13.2,12.8,13.1,16.3,12.2,5.7,7.2,5.2
2011,14.1,15,8.2,17,16.2,18.2,13.2,11.8,12.2,17.3,13.6,12.9,14.5,21,15.7,12.9,12.9,12.7,16.1,12.1,5.6,7,5.1
2012,13.8,14.7,8.2,16.6,15.8,17.6,13.2,11.6,12.3,16.8,13.3,12.7,19.3,20.2,15.3,12.6,12.7,12.7,15.3,11.4,5.5,7,5
2013,13.6,15.8,7.9,16.4,16.2,17.3,13.2,11.4,12.3,16.5,13.1,12.4,20.1,19.9,15,12.3,12.5,13.2,14.9,11.7,5.4,6.8,5
2014,13.5,16.5,7.9,16.3,16.4,17.5,12.7,11.4,12.1,16.3,12.8,12.3,19.5,20.1,15,12.3,12.3,13,14.3,11.4,5.3,6.6,5
2015,13.4,16.6,7.7,16.2,16.2,17.1,12.8,11.3,12.2,16.1,12.8,12.5,19.2,20.9,15,12.2,11.9,12.9,13.9,11,5.3,6.4,5
2016,13.4,17.4,7.8,16.3,16,15.8,12.6,11.4,12.2,16,12.6,13,17.4,20.2,14.9,12,11.7,12.2,13.1,10.8,5.2,6.2,5
2017,13.3,16.3,7.9,16.2,15.1,17,13.6,11.2,12.1,15.8,12.3,12.4,15.4,19.5,14.9,11.9,12.3,12.6,12.8,10.3,5.2,6.1,5.1
2018,13.2,17.3,8.1,15.9,15.5,16.9,13.4,11.1,12.1,15.6,12.3,12.3,17.1,19.5,14.8,11.7,11.6,12.1,12.2,10.1,5.3,6.4,5.1
