"Schuljahr","Anzahl Schulen","Anzahl Klassen","Lerner insgesamt","Weiblich","Männlich","Deutsch","Ausländisch","Lehrkräfte"
"1990/91",17,317,12916,6714,6202,11955,961,1016
"1991/92",17,330,12856,6788,6068,11836,1020,982
"1992/93",16,337,13108,6953,6155,12023,1085,966
"1993/94",16,348,13350,7101,6249,12235,1115,970
"1994/95",16,361,13459,7187,6272,12321,1138,949
"1995/96",16,367,13578,7223,6355,12433,1145,926
"1996/97",15,369,13790,7299,6491,12552,1238,938
"1997/98",15,374,14211,7562,6649,12884,1327,927
"1998/99",15,378,14380,7748,6632,13036,1344,921
"1999/00",15,371,14465,7761,6704,13141,1324,917
"2000/01",15,375,14232,7598,6634,12928,1304,894
"2001/02",15,369,14057,7579,6478,12725,1332,892
"2002/03",15,370,14015,7511,6504,12596,1419,882
"2003/04",15,368,14032,7541,6491,12641,1391,848
"2004/05",15,368,14205,7644,6561,12755,1450,847
"2005/06",15,361,14407,7709,6698,12928,1479,922
"2006/07",15,371,14734,7850,6884,13256,1478,866
"2007/08",15,378,14946,7930,7016,13546,1400,897
"2008/09",15,380,15199,8044,7155,13763,1436,928
"2009/10",16,379,15306,8076,7230,13821,1485,969
"2010/11",16,324,15515,8152,7363,13969,1546,1036
"2011/12",16,324,15732,8210,7522,14229,1503,1093
"2012/13",16,325,15708,8145,7563,14287,1421,1124
"2013/14",16,331,14700,7536,7164,13356,1344,1098
"2014/15",16,337,14612,7540,7072,13222,1390,1097
"2015/16",16,346,14642,7587,7055,13117,1525,1109
"2016/17",16,364,14601,7569,7032,12921,1680,1128
"2017/18",16,358,14381,7482,6899,12845,1536,1140
"2018/19",16,350,14417,7592,6825,12940,1477,1149
