"jahr","schulen","klassen","lerner","weiblich","männlich","deutsch","ausländisch","lehrkräfte"
"1990/91",13,246,6340,3268,3072,5477,863,375
"1991/92",12,249,6594,3380,3214,5690,904,369
"1992/93",12,247,6758,3450,3308,5841,917,375
"1993/94",12,253,7102,3653,3449,6152,950,386
"1994/95",12,265,7384,3799,3585,6422,962,396
"1995/96",12,276,7669,3922,3747,6710,959,418
"1996/97",12,285,7907,4087,3820,6881,1026,432
"1997/98",12,296,8217,4262,3955,7104,1113,447
"1998/99",12,306,8519,4333,4186,7344,1175,454
"1999/00",13,310,8675,4393,4282,7428,1247,467
"2000/01",13,319,8863,4542,4321,7558,1305,470
"2001/02",14,325,9065,4621,4444,7693,1372,488
"2002/03",14,330,9205,4721,4484,7762,1443,507
"2003/04",14,332,9199,4734,4465,7695,1504,493
"2004/05",14,332,9132,4765,4367,7624,1508,500
"2005/06",14,329,9069,4694,4375,7540,1529,520
"2006/07",14,323,8880,4530,4350,7384,1496,488
"2007/08",14,322,8831,4411,4420,7309,1522,488
"2008/09",14,317,8685,4329,4356,7222,1463,487
"2009/10",14,311,8497,4218,4279,7017,1480,483
"2010/11",14,304,8336,4203,4133,6944,1392,479
"2011/12",14,298,8263,4072,4191,7003,1260,482
"2012/13",14,293,8094,4047,4047,6971,1123,491
"2013/14",14,290,7962,4014,3948,6892,1070,485
"2014/15",14,285,7743,3842,3901,6752,991,488
"2015/16",14,282,7715,3756,3959,6725,990,475
"2016/17",14,293,7760,3743,4017,6577,1183,497
"2017/18",13,281,7550,3612,3938,6389,1161,483
"2018/19",13,286,7599,3647,3952,6364,1235,499
